Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,A,Class_A_Hong_Kong_Island,Unnamed: 9,Unnamed: 10,Class_A_Kowloon,Unnamed: 12,Unnamed: 13,Class_A_New_Territories,Unnamed: 15,B,Class_B_Hong_Kong_Island,Unnamed: 18,Unnamed: 19,Class_B_Kowloon,Unnamed: 21,Unnamed: 22,Class_B_New_Territories,Unnamed: 24,C,Class_C_Hong_Kong_Island,Unnamed: 27,Unnamed: 28,Class_C_Kowloon,Unnamed: 30,Unnamed: 31,Class_C_New_Territories,Unnamed: 33,D,Class_D_Hong_Kong_Island,Unnamed: 36,Unnamed: 37,Class_D_Kowloon,Unnamed: 39,Unnamed: 40,Class_D_New_Territories,Unnamed: 42,E,Class_E_Hong_Kong_Island,Unnamed: 45,Unnamed: 46,Class_E_Kowloon,Unnamed: 48,Unnamed: 49,Class_E_New_Territories,Unnamed: 51,Date,Year,Month
類 別  Class,,,,,,,,190.0,,,171.0,,,133.0,,,199.0,,,165.0,,,118.0,,,249.0,,,187.0,,,150.0,,,284.0,,,198.0,,,185.0,,,301.0,,,185.0,,,191.0,,1982-01-31,1982,1
,,,,,,,,190.0,,,171.0,,,133.0,,,199.0,,,165.0,,,118.0,,,249.0,,,187.0,,,150.0,,,284.0,,,198.0,,,185.0,,,301.0,,,185.0,,,191.0,,1982-02-28,1982,2
,,,,,,,,190.0,,,171.0,,,133.0,,,199.0,,,165.0,,,118.0,,,249.0,,,187.0,,,150.0,,,284.0,,,198.0,,,185.0,,,301.0,,,185.0,,,191.0,,1982-03-31,1982,3
,,,,,,,,190.0,,,171.0,,,133.0,,,199.0,,,165.0,,,118.0,,,249.0,,,187.0,,,150.0,,,284.0,,,198.0,,,185.0,,,301.0,,,185.0,,,191.0,,1982-04-30,1982,4
,,,,,,,,190.0,,,171.0,,,133.0,,,199.0,,,165.0,,,118.0,,,249.0,,,187.0,,,150.0,,,284.0,,,198.0,,,185.0,,,301.0,,,185.0,,,191.0,,1982-05-31,1982,5
,1999.0,,,,1.0,,,190.0,,,171.0,,,133.0,,,199.0,,,165.0,,,118.0,,,249.0,,,187.0,,,150.0,,,284.0,,,198.0,,,185.0,,,301.0,,,185.0,,,191.0,,1982-06-30,1982,6
,,,,,2.0,,,196.0,,,173.0,,,133.0,,,204.0,,,165.0,,,114.0,,,239.0,,,177.0,,,144.0,,,268.0,,,196.0,,,173.0,,,311.0,,,213.0,,,152.0,,1982-07-31,1982,7
,,,,,3.0,,,199.0,,,170.0,,,133.0,,,197.0,,,160.0,,,117.0,,,247.0,,,177.0,,,142.0,,,262.0,,,174.0,,,186.0,,,301.0,,,194.0,,,190.0,,1982-08-31,1982,8
,,,,,4.0,,,191.0,,,171.0,,,135.0,,,200.0,,,156.0,,,116.0,,,256.0,,,182.0,,,134.0,,,279.0,,,172.0,,,170.0,,,313.0,,,221.0,,,172.0,,1982-09-30,1982,9
,,,,,5.0,,,191.0,,,175.0,,,127.0,,,188.0,,,155.0,,,113.0,,,233.0,,,175.0,,,133.0,,,279.0,,,180.0,,,180.0,,,289.0,,,168.0,,,162.0,,1982-10-31,1982,10
,,,,,6.0,,,193.0,,,176.0,,,129.0,,,197.0,,,153.0,,,113.0,,,253.0,,,186.0,,,146.0,,,272.0,,,210.0,,,164.0,,,306.0,,,246.0,,,171.0,,1982-11-30,1982,11
,,,,,7.0,,,193.0,,,177.0,,,133.0,,,200.0,,,154.0,,,116.0,,,255.0,,,181.0,,,133.0,,,273.0,,,167.0,,,162.0,,,322.0,,,142.0,,,177.0,,1982-12-31,1982,12
,,,,,8.0,,,198.0,,,172.0,,,132.0,,,200.0,,,155.0,,,114.0,,,251.0,,,186.0,,,139.0,,,275.0,,,196.0,,,184.0,,,308.0,,,159.0,,,160.0,,1983-01-31,1983,1
,,,,,9.0,,,194.0,,,176.0,,,131.0,,,203.0,,,156.0,,,115.0,,,253.0,,,177.0,,,136.0,,,271.0,,,198.0,,,170.0,,,310.0,,,153.0,,,189.0,,1983-02-28,1983,2
,,,,,10.0,,,194.0,,,177.0,,,135.0,,,196.0,,,159.0,,,125.0,,,257.0,,,196.0,,,145.0,,,274.0,,,191.0,,,203.0,,,294.0,,,188.0,,,198.0,,1983-03-31,1983,3
,,,,,11.0,,,184.0,,,176.0,,,141.0,,,189.0,,,153.0,,,119.0,,,236.0,,,196.0,,,136.0,,,264.0,,,195.0,,,156.0,,,309.0,,,199.0,,,170.0,,1983-04-30,1983,4
,,,,,12.0,,,183.0,,,168.0,,,137.0,,,183.0,,,158.0,,,121.0,,,251.0,,,177.0,,,146.0,,,277.0,,,158.0,,,180.0,,,319.0,,,173.0,,,169.0,,1983-05-31,1983,5
,2000.0,,,,1.0,,,187.0,,,166.0,,,132.0,,,188.0,,,149.0,,,116.0,,,244.0,,,166.0,,,140.0,,,264.0,,,183.0,,,171.0,,,321.0,,,180.0,,,203.0,,1983-06-30,1983,6
